player,player_id,year,player_age,pa,home_run,k_percent,bb_percent,batting_avg,b_rbi,b_total_bases,xba,xslg,woba,xwoba,wobadiff,blasts_contact,ideal_angle_rate,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel,barrel_batted_rate,solidcontact_percent,poorlyweak_percent,hard_hit_percent,avg_best_speed,avg_hyper_speed,z_swing_percent,oz_swing_percent,out_zone_swing,out_zone_percent,iz_contact_percent,in_zone_percent,whiff_percent,swing_percent,pull_percent,flyballs_percent,Team,xwOBA_vs_R,xwOBA_vs_L,xwOBA_L14,PA_L14,Batting
Jorbit Vivas,678391,2026,25,178,3,12.4,8.4,0.26,15,56,0.256,0.344,0.315,0.305,0.01,9.9,45.8,83.3,11.3,33.1,6,4.4,2.2,8.1,26.5,95.290685224,91.831642463,77.7,27.3,88,52.4,90.3,47.6,18.1,51.3,41.2,20.6,WSH,0.305,0.305,0.305,178,0
Liam Hicks,689414,2026,27,288,13,9.7,10.1,0.278,53,117,0.249,0.361,0.361,0.316,0.045,12.8,53.2,85.5,14.2,26.5,10,4.4,3.1,6.2,31.0,97.093770804,92.595403453,58.7,26.7,147,53.2,96.8,46.8,11.4,41.6,41.2,24.8,TBD,0.316,0.316,0.316,288,0
Eric Wagaman,676572,2026,28,29,2,24.1,6.9,0.192,4,11,0.223,0.424,0.307,0.319,-0.012,16.7,38.1,86.7,5.1,47.4,2,10.5,0.0,5.3,26.3,97.637282,93.306091579,62.5,21.1,12,50.4,77.1,49.6,31.9,41.6,42.1,21.1,NYM,0.319,0.319,0.319,29,0
Isiah Kiner-Falefa,643396,2026,31,132,2,13.6,9.1,0.277,13,43,0.277,0.351,0.318,0.312,0.006,9.4,43.1,82.3,10.2,37.3,3,3.0,2.9,10.8,26.5,94.875340204,91.75996551,66.4,34.7,87,53.3,91.1,46.7,17.6,49.5,39.2,15.7,TBD,0.312,0.312,0.312,132,0
Josh Rojas,668942,2026,32,15,1,13.3,0.0,0.267,4,8,0.187,0.36,0.34,0.232,0.108,13.0,46.2,90.1,22.1,30.8,1,7.7,7.7,0.0,46.2,96.970087143,92.830046923,66.7,39.1,9,43.4,90.0,56.6,13.8,54.7,30.8,53.8,KC,0.232,0.232,0.232,15,0
Brenton Doyle,686668,2026,28,122,1,32.8,9.0,0.207,4,30,0.195,0.275,0.253,0.248,0.005,13.5,58.4,87.8,6.7,25.4,4,5.9,5.6,5.6,35.2,99.149070882,93.661036119,73.9,35.4,80,53.2,84.4,46.8,32.2,53.4,40.8,19.7,TBD,0.248,0.248,0.248,122,0
Michael Conforto,624424,2026,33,129,5,29.5,12.4,0.232,16,51,0.253,0.459,0.34,0.35,-0.01,17.5,51.6,92.7,19.7,38.7,10,13.3,4.0,1.3,49.3,101.862552895,95.7365268,62.9,25.6,72,53.1,81.4,46.9,31.1,43.1,41.3,38.7,CHC,0.35,0.35,0.35,129,0
Otto Lopez,672640,2026,27,353,6,14.2,4.5,0.332,36,156,0.292,0.444,0.365,0.335,0.03,18.8,47.9,89.8,6.9,30.4,19,6.7,5.3,3.5,43.5,100.98667777,94.85743018,62.0,34.4,227,51.7,90.8,48.3,20.5,47.7,30.7,22.3,MIA,0.335,0.335,0.335,353,0
Max Kepler,596146,2026,33,5,0,20.0,0.0,0.0,0,0,0.321,0.821,0.0,0.475,-0.475,33.3,75.0,90.0,29.7,75.0,1,25.0,0.0,0.0,75.0,100.861355,96.6266125,50.0,54.5,6,57.9,75.0,42.1,30.0,52.6,25.0,50.0,ARI,0.475,0.475,0.475,5,0
Heriberto Hernández,681715,2026,26,184,8,24.5,8.7,0.217,29,65,0.254,0.463,0.3,0.343,-0.043,20.8,64.8,91.9,13.4,33.6,11,9.0,10.7,4.1,49.2,101.803066557,95.531022869,70.4,25.7,96,54.3,78.3,45.7,33.1,46.1,47.5,30.3,MIA,0.343,0.343,0.343,184,0
