player_name_std,player_id_Full,year,p_formatted_ip,pa_Full,strikeout,p_home_run,k_percent_Full,bb_percent_Full,p_win,p_loss,p_era,xba_Full,xslg_Full,woba_Full,xwoba_Full,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,z_swing_miss_percent,oz_swing_miss_percent,whiff_percent,swing_percent,groundballs_percent,flyballs_percent,linedrives_percent,n,Team_Full,pitches,player_id_L60,total_pitches,pitch_percent,ba,iso,babip,slg,woba_L60,xwoba_L60,xba_L60,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance,pitcher_run_exp,run_exp,bat_speed,swing_length,miss_distance,pa_L60,bip,singles,doubles,triples,hrs,so,k_percent_L60,bb,bb_percent_L60,api_break_z_with_gravity,api_break_z_induced,api_break_x_arm,api_break_x_batter_in,hyper_speed,bbdist,hardhit_percent,barrels_per_bbe_percent,barrels_per_pa_percent,release_pos_z,release_pos_x,plate_x,plate_z,obp,barrels_total,batter_run_value_per_100,xobp,xslg_L60,pitcher_run_value_per_100,xbadiff,xobpdiff,xslgdiff,wobadiff,swing_miss_percent,arm_angle,attack_angle,attack_direction,swing_path_tilt,rate_ideal_attack_angle,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,Team_L60
Anthony Nunez,689296,2026,43.1,186,45,5,24.2,10.2,2,2,4.36,0.234,0.404,0.304,0.315,38.3,7.5,39.2,76.842914138,93.989309741,14.1,58.1,32.9,47.9,42.5,25.8,23.3,725,BAL,53,689296,735,7.2,0.182,0.227,0.188,0.409,0.235,0.208,0.187,4,22,91.2,2.2,2192,92.0,92.41,12,53,0,0.4000000000000057,6.52,118,145,121,149,287,325,306,3.317,-3.317,72.3,7.3,1.911869923,23,17,2,0,1,1,6,26.1,0,0,2.12,0.59302,0.18377,-0.18377,91.7,150.0,35.294117647058826,5.88235294117647,4.3478260869565215,5.56,-1.28,0.06,2.04,0.174,1.0,-6.258490566,0.179,0.32,6.258490566,-0.005,-0.005,0.089,0.027,22.6,35.3,7.431035587509541,-1.5613246225957518,33.1974821785541,0.4150943396226415,35.122864026420324,31.109182375890672,BAL
Max Kranick,668820,2026,4.2,25,3,1,12.0,16.0,0,0,11.57,0.21,0.299,0.43,0.316,35.3,0.0,29.4,75.412654444,92.216966471,12.5,44.4,26.2,46.7,29.4,29.4,29.4,90,WSH,24,668820,90,26.7,0.273,0.273,0.222,0.545,0.347,0.26,0.234,3,11,89.8,36.3,2201,89.7,90.56,7,24,0,0.8999999999999915,6.55,122,146,129,154,302,327,305,0.198,-0.198,70.4,7.2,3.322235751,11,10,2,0,0,1,1,9.1,0,0,2.22875,0.64167,0.035,-0.035,91.4,204.0,50.0,0.0,0.0,5.87,-2.2,0.21,2.27,0.273,0.0,-0.825,0.234,0.373,0.825,0.039,0.039,0.172,0.087,29.2,44.0,12.117533849880791,-6.373772615939848,33.58760525650642,0.6666666666666666,34.38494599667892,31.366428952581032,WSH
Drew Anderson,623454,2026,62.1,272,76,9,27.9,9.2,4,4,4.33,0.209,0.344,0.321,0.287,29.3,7.8,38.9,80.610199877,94.373088272,15.8,49.3,29.2,48.6,48.5,22.8,20.4,1063,DET,87,623454,1065,8.2,0.351,0.108,0.387,0.459,0.354,0.307,0.302,13,37,90.1,13.8,2066,91.8,92.07,19,87,0,0.2999999999999971,6.48,123,145,118,150,286,332,305,-0.584,0.584,73.0,7.2,1.511568024,37,32,11,1,0,1,5,13.5,0,0,2.4854,0.25552,0.41816,-0.41816,92.0,152.0,40.625,0.0,0.0,5.64,-2.16,-0.01,2.27,0.351,0.0,0.671264368,0.302,0.41,-0.671264368,0.049,0.0489999999999999,0.049,0.047,21.8,41.1,6.705087802765027,2.070699430042908,33.18487557992141,0.4827586206896552,35.61411492695424,26.9508317289608,DET
Coleman Crow,689441,2026,18.2,85,10,2,11.8,7.1,0,1,5.3,0.269,0.448,0.339,0.34,36.8,7.4,36.8,79.119521471,93.672238824,12.6,24.0,16.3,51.9,36.8,26.5,25.0,295,TBD,17,689441,299,5.7,0.556,0.111,0.556,0.667,0.535,0.447,0.459,5,9,94.5,10.4,2738,84.2,84.05,1,17,0,-0.2000000000000028,6.33,119,150,121,151,295,325,304,-1.369,1.369,71.7,7.4,0.680332428,9,9,4,1,0,0,0,0.0,0,0,3.24706,0.09529,-0.34059,0.34059,93.2,130.0,55.55555555555556,0.0,0.0,5.22,-1.57,-0.15,2.1,0.556,0.0,8.052941176,0.459,0.572,-8.052941176,0.097,0.097,0.095,0.088,5.9,31.0,8.580299327022527,-3.3802811665742016,34.79584189678682,0.2941176470588235,35.64967163994089,32.02012099748198,TBD
Lazaro Estrada,681751,2026,9.1,36,6,2,16.7,13.9,0,0,4.82,0.217,0.41,0.26,0.326,36.0,12.0,40.0,78.149568333,94.0635025,22.7,28.0,24.6,46.3,44.0,28.0,20.0,149,TBD,12,681751,150,8.0,0.286,0.429,0.167,0.714,0.419,0.455,0.273,2,7,96.0,29.7,2174,89.9,89.86,1,12,0,0.0,6.22,113,145,111,152,280,319,298,-1.065,1.065,71.0,7.1,0.959178816,7,7,1,0,0,1,0,0.0,0,0,1.78583,1.07,0.295,-0.295,94.5,189.0,71.42857142857143,28.57142857142857,28.57142857142857,5.64,-0.5,-0.04,2.26,0.286,2.0,8.875,0.273,0.833,-8.875,0.013,0.0129999999999999,-0.119,-0.036,8.3,51.2,10.876159103178017,-0.0017894018718651,33.963915911129696,0.4166666666666667,36.44718346872695,29.99107769744409,TBD
Jack Flaherty,656427,2026,86.1,389,102,11,26.2,10.8,3,8,4.59,0.236,0.394,0.329,0.323,39.9,8.4,46.2,80.250628803,94.848968541,18.9,43.0,27.1,45.1,31.5,31.5,26.5,1639,TBD,144,656427,1643,8.8,0.183,0.15,0.208,0.333,0.219,0.226,0.218,11,60,89.2,26.1,2315,89.8,90.28,37,144,0,0.5,6.53,120,147,119,152,288,330,305,8.393,-8.393,72.7,7.4,2.882578902,60,49,5,4,1,1,11,18.3,0,0,2.02785,0.82778,0.20681,-0.20681,91.3,173.0,38.775510204081634,4.081632653061225,3.333333333333333,5.36,-2.51,-0.02,2.24,0.183,2.0,-5.828472222,0.218,0.306,5.828472222,-0.035,-0.035,0.027,-0.007,25.7,28.4,12.386332062097146,-4.702622410227439,32.75221170671527,0.4583333333333333,36.27040616606102,32.56704068600283,TBD
Troy Melton,675512,2026,67.0,260,60,8,23.1,8.1,6,1,1.75,0.22,0.341,0.252,0.281,29.9,6.2,36.2,78.657720899,93.441023333,15.5,46.9,26.0,49.0,44.1,22.0,24.3,973,DET,198,675512,973,20.3,0.17,0.277,0.134,0.447,0.257,0.26,0.225,16,94,89.8,14.9,2170,91.2,92.36,45,198,0,1.2000000000000028,6.81,120,147,118,152,286,332,307,8.893,-8.893,72.7,7.5,2.773248748,94,74,4,5,0,7,20,21.3,0,0,2.20601,0.54873,0.01404,-0.01404,92.0,156.0,39.18918918918919,9.45945945945946,7.446808510638298,5.6,-1.76,0.05,2.18,0.17,7.0,-4.491414141,0.225,0.385,4.491414141,-0.055,-0.0549999999999999,0.062,-0.003,22.7,38.6,11.751162515614606,-6.473230919551304,33.05055101293688,0.5656565656565656,35.19048463985472,32.894749752976736,DET
Ryne Nelson,669194,2026,83.1,355,62,18,17.5,6.2,3,5,4.97,0.261,0.5,0.335,0.349,34.7,10.2,43.4,80.202420909,94.686418561,14.7,34.9,21.0,54.2,32.5,37.4,22.3,1292,TBD,62,669194,1297,4.8,0.296,0.333,0.261,0.63,0.388,0.392,0.316,8,27,89.2,18.6,2264,93.3,93.91,9,62,0,0.6000000000000085,6.66,115,148,111,153,289,320,291,-0.633,0.633,69.8,6.7,0.690981475,27,25,4,1,1,2,2,7.4,0,0,1.50903,1.12855,0.02177,-0.02177,92.0,171.0,44.0,8.0,7.4074074074074066,6.23,-1.05,0.26,2.54,0.296,2.0,1.020967742,0.316,0.606,-1.020967742,-0.02,-0.02,0.024,-0.004,14.5,54.3,7.547396566833308,1.8670435405339656,33.38157522964093,0.5161290322580645,34.1199048586769,27.70214095924329,TBD
Tayler Saucedo,642048,2026,3.1,15,6,1,40.0,0.0,0,0,5.4,0.21,0.456,0.471,0.31,37.5,25.0,50.0,68.7700675,96.929955,16.7,90.0,38.2,52.3,37.5,25.0,25.0,65,TBD,6,642048,65,9.2,1.0,0.0,1.0,1.0,0.889,0.299,0.332,1,1,76.2,-60.0,2292,87.6,88.05,2,6,0,0.4000000000000057,6.65,116,147,109,152,300,321,305,-0.44,0.44,69.4,7.4,3.802741368,1,1,1,0,0,0,0,0.0,0,0,2.63833,0.35833,0.21833,0.21833,88.0,118.0,0.0,0.0,0.0,5.31,2.08,-0.18,2.11,1.0,0.0,7.333333333,0.332,0.335,-7.333333333,0.668,0.6679999999999999,0.665,0.59,33.3,22.8,4.338259806023952,-4.892777854794836,30.089252304809754,0.8333333333333334,37.72352859765903,32.19413865195436,TBD
Brayan Bello,678394,2026,70.2,317,54,11,17.0,7.9,2,6,5.6,0.298,0.494,0.355,0.367,34.0,9.8,43.4,78.784203017,95.265503939,17.1,39.1,24.5,49.2,51.1,23.0,23.8,1187,BOS,62,678394,1189,5.2,0.227,0.182,0.2,0.409,0.259,0.401,0.358,5,22,89.6,4.6,2023,91.7,91.85,7,62,0,0.0999999999999943,6.17,120,145,119,149,282,318,307,0.853,-0.853,73.3,7.4,4.477196277,23,21,3,1,0,1,2,8.7,0,0,2.33468,0.37934,0.88919,-0.88919,92.1,137.0,47.61904761904761,14.285714285714285,13.043478260869565,5.43,-1.84,-0.2,2.12,0.217,3.0,-1.375806452,0.343,0.622,1.375806452,-0.131,-0.126,-0.213,-0.142,11.3,34.7,12.063367200604665,-4.855984318757205,35.24744845725767,0.5806451612903226,36.38180537327945,34.83773251811624,BOS
